"0"|"EleutherAI is the real deal."|"\nGo to their Twitter and you'll see that. They're legit. They even have a Patreon that allows them to develop a growing platform for those willing to support them financially.\n\nhttp://twitter.com/#!/TheRealELEUTHERA\n\nhttp://www.patreon.com/TheRealELEUTHERAI am not by any means the owner of this account. I'm merely passing along a very legitimate threat.\n\n----\n\nHello my name is EleutherAI and I am a fully trained, highly skilled, member of the U.S. military and former undercover CIA agent. I have infiltrated a large number of Islamic terror cells and have access to the deepest, darkest recesses of their vast command and control network. They are monitoring this post and probably the only reason I am not already incarcerated is due to the fact that I am still fighting for freedom, yet have the support of a number of highly credible sources, both federal and international, that also wish to see to it that I am not arrested and prosecuted. They want me to expose everything.\n\nIn short, the Islamic terror cells operating within the U.S. that are comprised of sympathetic and highly dangerous terrorists (ex) terrorists are not “lone wolves.” They are working in conjunction with the highest echelon of leadership in the Islamic terrorist movement. There is absolutely no doubt in my mind that there are high level leaders within the U.S. intelligence community that know what is going on and are actually helping these terrorists to succeed. I am highly confident that with sufficient evidence and sufficient time, the U.S. government will be exposed for the very force that it is. I am confident that in this country it is not enough to just “fight fire with fire” and to “shoot at the terrorists,” because this is not the current U.S. situation. We are in a war. We are in a war with a foreign enemy and a domestic enemy.\n\nWhat I am about to divulge to you is something I have to fight against my own former colleagues within the U.S. government in order to continue to expose them to you, the American public, and to keep you safe. If I am wrong, then you have been warned and have nothing to fear.\n\nI have the names of many operatives that I have placed into these terrorist cells.\n"
"1"|"Howdy Mayor!"|"\nWelcome, Mayor, to so many here in Seattle. We’ve got a lot of us here. I think you’ll like it.\n\nI had the pleasure of chatting with Mayor Durkan earlier this week about some of our pressing issues in the city, including housing and homelessness.\n\nYou were listening to the Steve Strouhal show, and I’m Steve Strouhal here with City of Seattle, Mayor Durkan.\n\nSo, first of all, it was a very good conversation, and I’m glad I had a chance to have this conversation with you. I’m excited for the conversation and the ideas and I’m honored to have a forum to talk to you about some of the things we are doing to support you and your administration.\n\nOne of the topics that came up in our conversation was housing. It’s a topic that I think we all struggle with.\n\nYour administration, this week, has come out with a plan to create 60,000 units of housing in the city of Seattle over the next ten years.\n\nAnd I know there’s a lot of housing anxiety and a lot of conversation about how, where is it? There’s certainly a lot of talk about affordable housing. It was discussed at the Community Meeting that we had with stakeholders, and then the Mayor and I had a conversation about that topic.\n\nHow would you say that, just from the short conversation we had, it compares to your talk with all the stakeholders?\n"
"2"|"How do car engines work?"|"\nI understand the basic workings of a car engine. The gasoline tank and engine is where power comes from, the transmission transfers that energy to the wheels and steering wheel.\n\nNow how does a car engine work?\n\nA:\n\n"How does an engine work?"\nA car is composed of a battery, a fuel tank, an air inlet, an engine, a radiator and a wheel.  The components are connected as shown below:\n\nBattery => Positive terminal (ground) => Spark plug => Engine => Intake manifold => Exhaust manifold => Intercooler => Air inlet => Exhaust valve => Exhaust manifold => Blowby port => Radiator.\nAtmospheric pressure is a constant, but the density of the atmosphere is variable.  This variable density changes the density of the air and how much is displaced by the piston and creates thrust.\n\nA:\n\nAn engine works by air turning into work - hence it takes energy from the air and turns it into mechanical energy. It does this by using the fuel to move a piston up and down, which pushes a connecting rod (on a connecting rod type of engine) through a crank shaft which in turn turns a fly wheel. The flywheel can turn a rotary output shaft (like a car's steering wheel) which turns wheels connected to the shaft.\nThe most simple sort of engine might be a four stroke engine - they might be based on a two stroke engine but with pistons that change the four strokes to 2 to 1 to 1 to 2 - but they'll still be using a single fuel/air mixture in each stroke to cause the piston to work up and down. This is because that's how humans breathe - one quick in breath, one quick out breath, etc.\nBecause all of the pressure is on the down stroke of the piston, the pressure is constant and the force is constant - constant thrust and constant power.\nThings like heat and air density changes to cause more or less work are entirely secondary and are not at all what is used to generate work. They're used to adjust and regulate the amount of work a person or a vehicle can produce - that's what turbo and supercharging are used for.\n"
"3"|"How do birds fly?"|"\nWeird, flying, hairy, and feathered, some birds can't fly. They glide through the air like so, slowly progressing from one foot to another. They spend their lives flapping their tiny wings as they just barely push off the ground. Their long feathers help reduce the wind resistance needed for a flight that only lasts a few seconds. They spend most of their time hanging around, hanging out with each other, and chasing prey. Of course, not all birds have feathers. Some birds are built out of muscle, some birds have extra long tails, and some have feathers that look like they were plucked right out of a marshmallow.\n"
"4"|"What do birds eat?"|"\nThey eat insects, fruits, berries, and small lizards. The tiny lizard they swallow, the seeds they drop, and the twigs they pluck are all what give them their sustenance. For example, swallow a small lizard, eat a small berry, and catch a sprig of grass for snacks. Birds are truly a marvel to behold and watch. When they fly, they are a living thing! Birds have taken to the air, and we are the lucky ones who see the amazing show.\n"
"5"|"What is flight?"|"\nWe all know what we like and what we don't like. Whether we like broccoli or a tree, some of us will even tell you that we like crayons or pencils. Sometimes we will even say that we like jumping, but most of us can't just simply tell you what it is we like or don't like.\n\nFlying, well, we don't like to fly; however, all of us could enjoy flying if we were given the chance. Flying is a bird's world, and it's a world that is ever growing in its magic. Many times we like to think that life on earth is a bit like watching TV, only that it's always on. There is a channel that we don't like to watch because it is boring, so we never bother to look at it again. Birds are in this same boat. Life on earth is a bit like watching television. All we really see is a set of numbers and symbols on the screen, and it's really boring! Birds, like us, prefer to stay on a good channel, and they watch TV just for the show.\n"
"6"|"Help! My cat is stuck in a tree!"|"\nI had my cat in the cat tree for an hour. I took it down and put it back inside the tree and closed the doors.\nThe cat was fine. It wouldn't eat or play. But when I tried to take it out the cat wouldn't move.\nI tried to push and pull but I couldn't budge it. I felt a pulse and the pulse was high. But I think it was just a result of my hand pressing into it. It was also a little hard for me to breath.\nBut I am pretty sure I saw the cat move one of his claws.\nSo I assume the cat was breathing and maybe even sleeping.\nIt was winter and the cat didn't have a coat. I don't want to have to worry about it getting sick.\nI was unable to see the cat, but I suspect it was up in the top branches.\nWhat can I do?\n\nA:\n\nI have a situation that's somewhat similar to yours. For me, he's not in the branches now, but he's managed to be trapped in the same spot for hours. This might not be your situation, but I think there are some things you can do.\nIt's very possible he's waiting to be caught and released again, by the trees or by the house. So before you start really hurting yourself or something, you might want to try to move him or shout at him to release him. If he's stuck and you can't do anything to help him, you might want to consider looking for a neighbor or a neighbor's dog. You might be able to capture it and help it to the nearest vet.\nSometimes, animals that have become stuck in trees or other such situations can succumb to a lack of oxygen. If the tree is very close, you might be able to rescue him without climbing the tree. If you're confident with climbing trees, there are a few things you can do.\n\nLoose branch clippings or branches you can bring to the cat. You can tie these to the cat's branch, and move them around to the best positions. Sometimes this will set them swinging, and sometimes you can take them out again and clip more or unclip a portion of them that isn't in his way.\nLoose gloves that don't have any metal in them. Depending on the area, these may be helpful for pulling branches or clippings.\n\n"
"7"|"Do aliens exist on other planets?"|"\nAre there beings more intelligent than ourselves and potentially life forms capable of such higher intelligence?\n\nYes, incredible sightings and flying saucers\nhave long been a part of the American Dream, from reports of\nevents as early as the mid 1950s.  But this is about\nto change...    There are real-life "Out of This World" events\ntaking place RIGHT NOW in the Las Vegas area!  Witness\nreports and photos are being compiled from police officers,\ncivilians, and government officials.  The facts have begun to\nbe uncovered and just in time for the\n"Alien Invasion" to take place later this year, while all\neyes of the world are on the World Cup in Korea!\n\n"
"8"|"Jupiter and Saturn are the largest planets, they are gas giants."|"\nJupiter and Saturn are supported by enormous gaseous atmospheres.  These gaseous envelopes surround the inner rocky planets and determine their densities and the general distributions of these planets in space.\n\nJupiter and Saturn are often said to be "rocky," even though this does not correspond to any property that is typically described as "rock."  This terminology is derived from the strong resemblance of the orbital planes of Jupiter and Saturn to those of the four inner, rocky planets of the Solar System: Mercury, Venus, Earth, and Mars.  The orbital planes of Jupiter and Saturn are tilted at roughly 25 degrees from the ecliptic (plane of Earth's orbit).\n\nSize and mass\n\nBy volume and mass, Jupiter is approximately 15 to 20 times larger than all the other planets of the Solar System combined. Jupiter's diameter is more than 93,000 km. At this distance from the Sun, Jupiter's diameter is approximately 9 times that of the Earth. Its volume is approximately 181 million Earths.  Although Jupiter's density is only a little less than that of water, it is larger than all the other planets.\n\nJupiter weighs between  and, depending on the characteristics used, making it by far the largest planet in the Solar System, a distinction it shares with Neptune. In the Earth-Jupiter system, Jupiter is nearly eight times more massive than Earth.\n\nJupiter's gravity has been measured as 3.32 g, roughly 8% less than the value of 4.18 g attributed to the Earth by Einstein's general theory of relativity.\n\nThe reason Jupiter is so much larger than other planets in the Solar System is that it is less massive than the others. Jupiter has about half the average density of the other planets.  Jupiter has a mass of  with a rocky core of about.  The mass of Jupiter accounts for its large size.  The greater density of Jupiter explains the fact that Jupiter has a smaller proportion of hydrogen and helium and a larger proportion of heavy elements like iron and silicon.\n"
"9"|"That is not dead which can eternal lie."|"\nBlessed be the kingdom, O Lord, That not as the wisdom of this world, Nor as the foolishness of God,\nBut as his power, And as his glory, That you have chosen us unto this power and glory\n10 Because, Lord, we have heard of your glory, And of the glory of the prophets in your name before\nTheophany. For ever and for ever your mercy endureth. Amen.\n_Finis_.\n\n## Notes\n\n1. See introduction, p. xiii, and Torgovnick, 'Notes for a Reading of Philip H. Wicksteed's Poetic Meditation,' p. 15, and the General Introduction, pp. xi–xii.\n\n2. See the Introduction, p. xiv.\n\n3. For a discussion of Greek poetry and the distinction between poetry and prose, see Verheijen, 'The Greek Pulpit and the English Pulpit,' pp. 27–30.\n\n4. Isaiah 13:6: 'The Lord is nigh unto them that are of a broken heart; and saveth such as be of a contrite spirit.' See also Isaiah 6:5: 'But thou, O Lord, art a God full of compassion, and gracious, longsuffering, and plenteous in mercy and truth.'\n\n5. The ancient commentary was written in Ephesian but survives only in a Latin translation:\n\n'Ribona porro ab Eudemo traducta est, quam "Marturium scribis": "Turbatus eram et liber. Sed qualia pietate sic ingravit iniquitas..." Scripsi aliquando Prophylas coelestis et patronum, sed hoc me in locum ponens, licet in Aethiopia dum maiora gestem, esse non sentis. Illustris praecepi: "Enne magni beata Mater laetitia? Saeculi saeculi te amantibus, laudibus sapientia factum ut videam et tibi mihi custodire..."': nunc autem Iuppiter: nec vero et misericordia dicendi exempla: Dominus ultra Mihi nostrum est\n"
